33329	10
34069	11
265281	10
265290	10
272772	14
273107	11
273871	6
294856	5
294857	14
298242	5
299816	13
300768	5
301003	8
361656	9
370285	5
379464	6
466431	9
466620	5
471030	7
484122	12
505274	8
506521	7
519558	10
529645	11
614845	11
652520	9
676542	6
683610	6
683611	8
690906	6
690936	8
693279	6
700704	9
701478	14
703313	9
933209	11
933210	11
941897	10
941898	14
944206	6
949041	13
996166	14
996734	11
998502	13
1021108	8
1021754	12
1022595	14
1022597	14
1024082	10
1026954	7
1029231	6
1030292	10
1099057	10
1099089	14
1099097	8
1099132	6
1099134	6
1099156	11
1099161	11
1099170	8
1099295	12
1099296	10
1099313	7
1099315	8
1099348	5
1099356	7
1099360	12
1099364	14
1099376	5
1099379	14
1099383	7
1099508	8
1099511	14
1099533	14
1099546	11
1099570	12
1099627	14
1099634	9
1099642	11
1099662	7
1099663	11
1099664	7
1099669	11
1099672	14
1099688	6
1099697	11
1099700	8
1099728	10
1558380	11
1588047	6
1588049	14
1588051	8
1590051	6
1590053	6
1590068	10
1590083	14
1590085	7
1590100	8
1590103	13
1590556	9
1590561	11
1590564	6
1590580	8
1590581	10
1590585	6
1591052	12
1556040	7
1556068	10
1556075	9
1556180	14
1556343	8
1556349	13
1556350	14
1556352	8
1556353	8
1556358	13
1556363	7
1556378	10
1115983082	14
1136339007	11
1136339009	8
1136339013	11
1136342001	8
1136344002	7
1099740	6
1099749	13
1099774	7
1099776	7
1099794	8
1099797	9
1099803	6
1099835	10
1099847	11
1099854	14
1099862	12
1099864	13
1099872	5
1099875	13
1100013	9
1100028	10
1100038	11
1100074	12
1100094	8
1100121	11
1100303	9
1100310	8
1100331	7
1100339	9
1100354	12
1100357	9
1100377	10
1100383	11
1100423	5
1100574	7
1100625	11
1100679	12
1100698	14
1100700	10
1100706	13
1100888	9
1100915	7
1100957	8
1100966	5
1100988	6
1101032	14
1101278	6
1101285	11
1101300	14
1101302	7
1101306	13
1101337	9
1101710	14
1101711	8
1101747	7
1101761	7
1101784	13
1101994	14
1101998	11
1102009	12
1102025	13
1102028	7
1102050	12
1102061	13
1102067	8
1102088	12
1102400	12
1102465	8
1102480	11
1102482	9
1102520	10
1102528	8
1102561	7
1102570	7
1102579	10
1102580	12
1102592	10
1102593	13
1102595	5
1102603	11
1102710	11
1102722	6
1102731	11
1102735	8
1102755	5
1102783	11
1102786	13
1102819	9
1102827	5
1102828	13
1102835	8
1102864	11
1102907	7
1102924	8
1582538	11
1583067	13
1546575	14
1546577	6
1548548	9
1548554	13
1102967	9
1102969	12
1102972	5
1103000	7
1103001	9
1103023	9
1103024	6
1103031	10
1103050	7
1103051	7
1103118	13
1103142	9
1103148	6
1103149	7
1103163	5
1103164	14
1103170	14
1103205	11
1103248	8
1103250	9
1103263	10
1103271	6
1103272	14
1103285	14
1103325	13
1103377	7
1103467	7
1103473	7
1103479	8
1103789	5
1103802	10
1103865	14
1104102	10
1104120	5
1104123	13
1104129	5
1104168	10
1104225	12
1104234	13
1104256	7
1104259	14
1104267	11
1104319	14
1104389	6
1104542	6
1104545	9
1104552	10
1104613	6
1104660	14
1104702	5
1104724	7
1104958	10
1105001	7
1105043	9
1105048	12
1105049	7
1105144	14
1105160	7
1105393	9
1105396	13
1105399	9
1105444	11
1105513	9
1105545	12
1105796	8
1105831	12
1105850	10
1105921	11
1106082	5
1106437	14
1106460	7
1106543	13
1287040001	7
1287041002	7
1291919005	10
1192784001	12
1192784002	10
1192788002	10
1192788004	5
1478572005	12
1106584	8
1106624	10
1106661	12
1106668	11
1106672	10
1106748	7
1106779	7
1106813	10
1107264	8
1107329	8
1107844	13
1107883	14
1107932	9
1107969	8
1108130	5
1108470	8
1108562	9
1108587	9
1108653	12
1108661	7
1108899	9
1108916	12
1108950	5
1108969	7
1109018	8
1109022	13
1109027	7
1109032	12
1109035	5
1109251	12
1109357	14
1109359	8
1109394	12
1109422	7
1109424	9
1109445	14
1109495	14
1109558	12
1109587	8
1109603	12
1109607	5
1109609	8
1109621	10
1109678	10
1109708	8
1109721	7
1110145	7
1110296	12
1110344	11
1111408	8
1111410	5
1111451	14
1111479	8
1111493	5
1111638	14
1111650	11
1111819	9
1111822	5
1111835	9
1111843	10
1112102	5
1112114	6
1112115	13
1112153	6
1112178	10
1112189	7
1112207	14
1112534	9
1112572	6
1112585	8
1112594	5
1112602	9
1112615	12
1112646	8
1112651	13
1112826	12
1112843	5
1112844	7
1112868	14
1112892	5
1112939	7
1113135	7
1201258	12
